filename,width,height,class,xmin,ymin,xmax,ymax
2021-01-05-15-58-14.jpg,1920,1088,MESCHA,1067,389,1354,596
2021-01-05-15-58-14.jpg,1920,1088,SITTOR,885,603,1918,1088
2021-01-05-15-58-16.jpg,1920,1088,MESCHA,845,223,1057,401
2021-01-05-15-58-16.jpg,1920,1088,SITTOR,1127,538,1900,1012
2021-01-05-15-58-21.jpg,1920,1088,MESCHA,1015,524,1920,1047
2021-01-05-15-58-23.jpg,1920,1088,MESBLE,0,158,243,569
2021-01-05-15-58-27.jpg,1920,1088,MESBLE,1040,623,1605,1088
2021-01-05-15-58-36.jpg,1920,1088,MESCHA,1406,484,1920,918
2021-01-05-15-59-19.jpg,1920,1088,SITTOR,856,711,1920,1088
2021-01-05-15-59-22.jpg,1920,1088,SITTOR,758,654,1829,1088
2021-01-05-15-59-29.jpg,1920,1088,MESCHA,1231,279,1920,964
2021-01-05-15-59-41.jpg,1920,1088,MESCHA,1157,366,1918,910
2021-01-05-15-59-46.jpg,1920,1088,SITTOR,1256,484,1920,1080
2021-01-05-15-59-48.jpg,1920,1088,SITTOR,1265,468,1920,1088
2021-01-05-16-00-40.jpg,1920,1088,MESCHA,477,47,666,264
2021-01-05-16-00-43.jpg,1920,1088,MESCHA,1368,493,1918,1086
2021-01-05-16-01-29.jpg,1920,1088,SITTOR,781,659,1449,1088
2021-01-05-16-01-31.jpg,1920,1088,SITTOR,741,497,1389,1088
2021-01-05-16-01-33.jpg,1920,1088,SITTOR,420,488,1705,1088
2021-01-05-16-01-54.jpg,1920,1088,MESCHA,1250,476,1920,1057
2021-01-05-16-02-10.jpg,1920,1088,SITTOR,1362,541,1918,1082
2021-01-05-16-03-14.jpg,1920,1088,MESCHA,1196,407,1920,837
2021-01-05-16-03-19.jpg,1920,1088,MESCHA,164,414,468,781
2021-01-05-16-03-36.jpg,1920,1088,SITTOR,824,518,1611,1088
2021-01-05-16-03-38.jpg,1920,1088,SITTOR,937,472,1412,1088
2021-01-05-16-04-08.jpg,1920,1088,MESCHA,360,420,941,775
2021-01-05-16-04-11.jpg,1920,1088,MESCHA,104,401,895,804
2021-01-05-16-04-13.jpg,1920,1088,MESCHA,0,397,424,843
2021-01-05-16-04-19.jpg,1920,1088,MESCHA,617,607,739,742
2021-01-05-16-04-24.jpg,1920,1088,MESCHA,1472,603,1852,978
2021-01-05-16-04-40.jpg,1920,1088,SITTOR,1186,565,1920,1088
